AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,Annual_Pct10,Annual_Pct25,Annual_Median,Annual_Pct75,Annual_Pct90,Annual_Mean
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",27690,29550,34930,42460,49270,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",27690,29550,34930,42460,49270,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",32320,38360,56690,84300,119110,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",*,*,*,*,*,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",*,*,*,*,*,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",*,*,*,*,*,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",*,*,*,*,*,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",25840,29950,32250,36300,45260,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",25680,25680,28330,33470,35130,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",25680,25680,28330,33470,35130,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",27210,31350,32250,36300,45260,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",27210,31350,32250,36300,45260,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",41180,46270,64000,91000,109820,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",41180,46270,64000,91000,109820,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",41180,46270,64000,91000,109820,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",40190,49890,71560,98640,131330,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",40190,49890,71560,98640,131330,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",49460,66130,75700,106600,116590,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",39160,48880,69990,97670,131470,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",40640,46150,51230,74860,104170,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",40640,46150,51230,74860,104170,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",29120,36120,43860,54520,68600,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",42040,50980,67780,86800,100060,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",42040,50980,67780,86800,100060,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",42040,50980,67780,86800,100060,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",29990,38070,47140,57670,69540,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",39140,40380,42190,51790,62390,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",39140,40380,42190,51790,62390,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",27940,37900,46910,57540,72520,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",27940,37900,46910,57540,72520,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",34590,39300,48520,58380,67450,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",34590,39300,48520,58380,67450,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",33280,41740,45520,51040,63600,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",33280,41740,45520,51040,63600,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",31160,34900,39540,46210,55490,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",31490,35190,41600,51870,61100,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",31490,35190,41600,51870,61100,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",25380,34300,37020,39930,41600,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",25380,34300,37020,39930,41600,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",40420,40850,42110,50380,50400,
